"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"bring people together","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"current political climate","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"current political climate","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"it s all in the how how are we going to put bringing people together","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"keep politicians out of strategies and solutions","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"keep politicians out of strategies and solutions","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"we want to be a community of values not just an agenda of values","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"what is it that brings people together at times of national tragedy can we bottle that without the tragedy","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","ThedaCare -Appleton, Ironwood",2019-05-16,"Dennis Espiscopo","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"getting money out of politics","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"local governments are hesitant to take risks","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"negative influence polarization from state national influence will affect youth","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"non partisan redistricting","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"non partisan redistricting","Ideas for Innovation","Not Marked","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"non partisan redistricting","Ideas for Innovation","Not Marked","B&CM-Politics and partisan discourse","","LWV- Concordia U",2019-05-20,"Irene Strohbeen","Nancy Heykes","Belonging & Civic Muscle (B&CM)"
"parochial putting community before the country or the world closed minded","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Pfefferle",2019-02-15,"J. Schulist","J. Schulist","Belonging & Civic Muscle (B&CM)"
"cliques in communities as well","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Appleton North Star program",2019-05-17,"Jack Loken","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"political boundaries multiple jurisdictions inconsistencies","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-01-07,"Jason Schulist","Stacy Wegley","Belonging & Civic Muscle (B&CM)"
"even though individual communities without pooling resources we don t have access to city amenities or continuity","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","KC Neenah",2019-05-28,"Jeff Hunter","Karen Flom","Belonging & Civic Muscle (B&CM)"
"youth lacking in common sense knowledge and respect","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Prince of Peace Church",2019-05-30,"Jeff Hunter","Jason Schulist","Belonging & Civic Muscle (B&CM)"
"the idea that the whole community appleton and grand chute other cities really need to work together to solve issues","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Thrivent",2019-02-26,"Jim Case","Beckie Overholt","Belonging & Civic Muscle (B&CM)"
"already spreading strategies so its on the government and municipalities to provide public displays of support diversity in advertisement public restrooms","Ideas for Innovation","Not Marked","B&CM-Politics and partisan discourse","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"benefits and services cliffs gray area of who is eligible and then they don t access","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Politics and partisan discourse","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"change negativity into positivity","Ideas for Innovation","Healthy Environment (HE)","B&CM-Politics and partisan discourse","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"people in charge our leaders need to make waves and demonstrate support inclusion","Ideas for Innovation","Not Marked","B&CM-Politics and partisan discourse","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"political climate is declining","Are we trending up or down?","Not Marked","B&CM-Politics and partisan discourse","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"political climate politicians not always listening to our needs","Barriers to community well-being?","Healthy Environment (HE)","B&CM-Politics and partisan discourse","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"resistance by community leaders and organizations to change to be more inclusive sending a message of you are welcome but we are not going to give you resources to feel welcomed i e gender neutral bathrooms student locker rooms those in the position to influence change are not making those changes","Are we trending up or down?","Not Marked","B&CM-Politics and partisan discourse","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Belonging & Civic Muscle (B&CM)"
"services like transportation are in silos","Barriers to community well-being?","Reliable Transportation (RT)","B&CM-Politics and partisan discourse","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"trending down not a mom dad more blended families adds on to economic problems","Are we trending up or down?","Healthy Environment (HE)","B&CM-Politics and partisan discourse","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Belonging & Civic Muscle (B&CM)"
"immigration process of family reunification taking a long time","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","APL - Congolese",2019-06-08,"Karen Nelson","Tami McLaughlin","Belonging & Civic Muscle (B&CM)"
"better unity for the fox cities too siloed","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"collaborate between cities to maximize efficiency","Ideas for Innovation","Not Marked","B&CM-Politics and partisan discourse","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Belonging & Civic Muscle (B&CM)"
"collaboration in the valley while maintaining identity","Best part of living here?","Not Marked","B&CM-Politics and partisan discourse","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"fear of change people are living in silos","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"lack of regional connection ex we don t need two airports lack of commitment to using community resources collaboratively","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"people don t leave their community and they don t see how other people live beyond the fox cities","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","UWFV",2019-06-26,"Leila Pertl","Betsy Kowal","Belonging & Civic Muscle (B&CM)"
"multiple municipal governments","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
"municipalities working together for greater good","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Belonging & Civic Muscle (B&CM)"
"naivete about societal problems those in power don t see or acknowledge the problems","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","Community Foundation",2019-02-28,"Lynn Coriano","Todd Sutton","Belonging & Civic Muscle (B&CM)"
"lack of legal immigration status","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","Appleton Public Library",2019-06-06,"Manny Vasquez","Manny Vasquez","Belonging & Civic Muscle (B&CM)"
"resources access to information bus routes multiple communities require you to look at multiple sources","Barriers to community well-being?","Reliable Transportation (RT)","B&CM-Politics and partisan discourse","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"transportation in between the cities oshkosh buses versus appleton buses had to look at 4 5 maps to get to campus and they didn t run early enough to make it to class","Vulnerable groups in community?","Reliable Transportation (RT)","B&CM-Politics and partisan discourse","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Belonging & Civic Muscle (B&CM)"
"baby boomers did well always gave to kids kids may not have drive once any inheritance gets passed down","Are we trending up or down?","Lifelong Learning (LL)","B&CM-Politics and partisan discourse","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"could go either way kids have everything handed to them once life becomes real what will happen","Are we trending up or down?","Lifelong Learning (LL)","B&CM-Politics and partisan discourse","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"kids don t realize what they could have if they put their mind to it","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Politics and partisan discourse","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"most kids haven t lived without heat or food lacking drive","Are we trending up or down?","Lifelong Learning (LL)","B&CM-Politics and partisan discourse","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"worse reluctance to physical labor may keep people away from opportunities with better income","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Politics and partisan discourse","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Belonging & Civic Muscle (B&CM)"
"legislators aren t connected to people in my neighborhood","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","STFV",2019-05-22,"Nancy H","KV","Belonging & Civic Muscle (B&CM)"
"big picture global level vs what s going on here understanding what s happening in schools cities","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"local municipal competition especially when money involved lack of collaboration","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
"political hold ups disconnect elected officials and community vision","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Politics and partisan discourse","","CHW  Cmm First",2019-06-11,"Paula","Kara","Belonging & Civic Muscle (B&CM)"
"we are more metropolitan than we want to admit too many police departments too many municipalities","Barriers to community well-being?","Not Marked","B&CM-Politics and partisan discourse","","LC  Village Hall",2019-06-13,"Paula","KV","Belonging & Civic Muscle (B&CM)"
